Movie Title,Movie Codec,File Size,Folder Name,Multiple Movie Files? (Y/N),Additional Movie Files
Hot Fuzz (2007) Bluray-1080p.mkv,AVC,13236376893,Hot Fuzz (2007),N,
Mr And Mrs Smith.mp4,AVC,1545426904,Mr And Mrs Smith,Y,Mr.and.Mrs.Smith.2005.1080P.BluRay.NL.Subs.k-a-r-m-a.mkv
Mr.and.Mrs.Smith.2005.1080P.BluRay.NL.Subs.k-a-r-m-a.mkv,AVC,1608890486,Mr And Mrs Smith,Y,Mr And Mrs Smith.mp4
Mr And Mrs Smith Sample.mp4,AVC,5091452,"Sample,info",N,
[Daman] Sengoku Basara The Last Party [1280x720_Blu_Ray_Dual_Audio_AAC].mkv,AVC,2546379704,Sengoku Basara The Last Party,N,
Doctor Strange in the Multiverse of Madness (2022) WEBDL-1080p.mkv,AVC,9962051070,Doctor Strange in the Multiverse of Madness (2022),N,
Knocked Up (2007) Bluray-1080p.mkv,HEVC,4232534196,Knocked Up,N,
A League of Their Own (1992) Bluray-1080p.mkv,HEVC,3430917785,A League of Their Own (1992),N,
Jeff Dunham - Spark of Insanity (2007) Bluray-720p.mp4,AVC,1044642986,Jeff Dunham - Spark of Insanity (2007),N,
Finding.Nemo.2003.720p.BluRay.appletv.m4v,AVC,2805086580,Finding Nemo,N,
Police Academy 2 - Their First Assignment (1985) Bluray-1080p.mkv,AVC,7067687130,Police Academy 2 - Their First Assignment (1985),N,
Iron Man 2 (2010) Bluray-1080p Proper REAL.mkv,AVC,14083999248,Iron Man 2 (2010),N,
"The_Borrowers_Arrietty_(2010)_[1080p,BluRay,x264,DTS]_-_THORA-UTW.md5",,511,The Borrowers Arrietty,N,"The_Borrowers_Arrietty_(2010)_[1080p,BluRay,x264,DTS]_-_THORA-UTW.mkv"
"The_Borrowers_Arrietty_(2010)_[1080p,BluRay,x264,DTS]_-_THORA-UTW.mkv",AVC,7542068328,The Borrowers Arrietty,N,
Kung Fu Panda 3 2016.mkv,AVC,1714956144,Kung Fu Panda 3 (2016),N,
Kick.Ass.2010.720p.BrRip.264.YIFY.mp4,AVC,733762596,Kick-Ass,N,
Tales From Earthsea - ETRG.avi,MPEG-4 Visual,1460964108,Tales from Earthsea,N,
